0.00.022.124 I srv  llama_server: initializing ...
0.09.323.782 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.09.441.435 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.09.470.928 I srv    load_model: loading model 'D:\fable-coder-v4-7b.Q4_K_M.gguf'
0.11.141.250 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
2.01.473.438 I cmn          init: llama threadpool init, n_threads = 4
2.02.601.725 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 4096, kv_unified = 'false'
2.02.834.012 I srv  llama_server: model loaded
2.02.834.406 I srv  llama_server: listening on http://127.0.0.1:8084
2.03.218.368 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
2.26.558.026 I slot      release: id  0 | task 828 | stop processing: n_tokens = 280, truncated = 0
2.26.566.038 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.135 (> 0.100 thold), f_keep = 0.086
2.26.573.939 I slot launch_slot_: id  0 | task 1016 | processing task, is_child = 0
2.28.600.793 I slot print_timing: id  0 | task 1016 | prompt eval time =     384.61 ms /   154 tokens (    2.50 ms per token,   400.41 tokens per second)
2.28.600.799 I slot print_timing: id  0 | task 1016 |        eval time =    1642.25 ms /    95 tokens (   17.47 ms per token,    57.24 tokens per second)
2.28.600.800 I slot print_timing: id  0 | task 1016 |       total time =    2026.86 ms /   249 tokens
2.28.600.802 I slot print_timing: id  0 | task 1016 |    graphs reused =       1071
2.28.600.836 I slot      release: id  0 | task 1016 | stop processing: n_tokens = 272, truncated = 0
2.28.611.851 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.216 (> 0.100 thold), f_keep = 0.088
2.28.618.758 I slot launch_slot_: id  0 | task 1112 | processing task, is_child = 0
2.32.046.467 I slot print_timing: id  0 | task 1112 | n_gen =    162, tg =  53.53 t/s, tg_3s =  53.86 t/s
2.32.937.979 I slot print_timing: id  0 | task 1112 | prompt eval time =     420.15 ms /    87 tokens (    4.83 ms per token,   207.07 tokens per second)
2.32.937.985 I slot print_timing: id  0 | task 1112 |        eval time =    3899.11 ms /   209 tokens (   18.75 ms per token,    53.35 tokens per second)
2.32.937.987 I slot print_timing: id  0 | task 1112 |       total time =    4319.26 ms /   296 tokens
2.32.937.989 I slot print_timing: id  0 | task 1112 |    graphs reused =       1277
2.32.938.017 I slot      release: id  0 | task 1112 | stop processing: n_tokens = 319, truncated = 0
2.32.947.796 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.179 (> 0.100 thold), f_keep = 0.075
2.32.956.720 I slot launch_slot_: id  0 | task 1322 | processing task, is_child = 0
2.33.802.264 I slot print_timing: id  0 | task 1322 | prompt eval time =     394.13 ms /   110 tokens (    3.58 ms per token,   279.09 tokens per second)
2.33.802.271 I slot print_timing: id  0 | task 1322 |        eval time =     451.38 ms /    27 tokens (   17.36 ms per token,    57.60 tokens per second)
2.33.802.272 I slot print_timing: id  0 | task 1322 |       total time =     845.52 ms /   137 tokens
2.33.802.274 I slot print_timing: id  0 | task 1322 |    graphs reused =       1302
2.33.802.304 I slot      release: id  0 | task 1322 | stop processing: n_tokens = 160, truncated = 0
2.33.810.152 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.387 (> 0.100 thold), f_keep = 0.150
2.33.814.099 I slot launch_slot_: id  0 | task 1350 | processing task, is_child = 0
2.34.247.769 I slot print_timing: id  0 | task 1350 | prompt eval time =      91.72 ms /    38 tokens (    2.41 ms per token,   414.29 tokens per second)
2.34.247.776 I slot print_timing: id  0 | task 1350 |        eval time =     341.93 ms /    18 tokens (   20.11 ms per token,    49.72 tokens per second)
2.34.247.777 I slot print_timing: id  0 | task 1350 |       total time =     433.65 ms /    56 tokens
2.34.247.779 I slot print_timing: id  0 | task 1350 |    graphs reused =       1318
2.34.247.805 I slot      release: id  0 | task 1350 | stop processing: n_tokens = 79, truncated = 0
